"Source Country","Destination Country","Visa Status","Visa Type",Duration
Afghanistan,Albania,eVisa,eVisa,
Afghanistan,Algeria,"Visa Required","visa required",
Afghanistan,Andorra,"Visa Required","visa required",
Afghanistan,Angola,"Visa Required","visa required",
Afghanistan,"Antigua and Barbuda",eVisa,eVisa,
Afghanistan,Argentina,"Visa Required","visa required",
Afghanistan,Armenia,"Visa Required","visa required",
Afghanistan,Australia,eVisa,eVisa,
Afghanistan,Austria,"Visa Required","visa required",
Afghanistan,Azerbaijan,"Visa Required","visa required",
Afghanistan,Bahamas,eVisa,eVisa,
Afghanistan,Bahrain,eVisa,eVisa,
Afghanistan,Bangladesh,"Visa Required","visa required",
Afghanistan,Barbados,"Visa Required","visa required",
Afghanistan,Belarus,"Visa Required","visa required",
Afghanistan,Belgium,"Visa Required","visa required",
Afghanistan,Belize,"Visa Required","visa required",
Afghanistan,Benin,eVisa,eVisa,
Afghanistan,Bhutan,eVisa,eVisa,
Afghanistan,Bolivia,eVisa,eVisa,
Afghanistan,"Bosnia and Herzegovina","Visa Required","visa required",
Afghanistan,Botswana,eVisa,eVisa,
Afghanistan,Brazil,"Visa Required","visa required",
Afghanistan,Brunei,"Visa Required","visa required",
Afghanistan,Bulgaria,"Visa Required","visa required",
Afghanistan,"Burkina Faso",eVisa,eVisa,
Afghanistan,Burundi,"Visa on Arrival","visa on arrival",30
Afghanistan,Cambodia,"Visa on Arrival","eVisa / visa on arrival",30
Afghanistan,Cameroon,eVisa,eVisa,
Afghanistan,Canada,"Visa Required","visa required",
Afghanistan,"Cape Verde","Visa on Arrival","visa on arrival (EASE)",
Afghanistan,"Central African Republic","Visa Required","visa required",
Afghanistan,Chad,eVisa,eVisa,
Afghanistan,Chile,"Visa Required","visa required",
Afghanistan,China,"Visa Required","visa required",
Afghanistan,Colombia,eVisa,eVisa,
Afghanistan,Comoros,"Visa on Arrival","visa on arrival",45
Afghanistan,Congo,"Visa Required","visa required",
Afghanistan,"Congo (Dem. Rep.)",eVisa,eVisa,90
Afghanistan,"Costa Rica","Visa Required","visa required",
